IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150337795,ASSAULT,INFLICT INJURY ON COHABITEE,Saturday,04/18/2015,06:14,CENTRAL,"ARREST, BOOKED",FRANCISCO ST / MASON ST,-122.413433201999,37.8046850499582,"(37.8046850499582, -122.413433201999)",15033779515040
150337795,SECONDARY CODES,DOMESTIC VIOLENCE,Saturday,04/18/2015,06:14,CENTRAL,"ARREST, BOOKED",FRANCISCO ST / MASON ST,-122.413433201999,37.8046850499582,"(37.8046850499582, -122.413433201999)",15033779515200
150337808,WARRANTS,WARRANT ARREST,Saturday,04/18/2015,06:00,PARK,"ARREST, BOOKED",0 Block of NOE ST,-122.433419665092,37.7683076620028,"(37.7683076620028, -122.433419665092)",15033780863010
150337654,ROBBERY,"ROBBERY, ARMED WITH A DANGEROUS WEAPON",Saturday,04/18/2015,02:48,TENDERLOIN,"ARREST, BOOKED",EDDY ST / LEAVENWORTH ST,-122.414242955907,37.7837240254478,"(37.7837240254478, -122.414242955907)",15033765403073
150337632,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,04/18/2015,02:40,NORTHERN,"ARREST, BOOKED",700 Block of OAK ST,-122.431673447197,37.7739204424876,"(37.7739204424876, -122.431673447197)",15033763228150
150341520,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Saturday,04/18/2015,02:36,CENTRAL,NONE,1600 Block of JONES ST,-122.415120993809,37.7961019739078,"(37.7961019739078, -122.415120993809)",15034152015161
150337701,ASSAULT,BATTERY,Saturday,04/18/2015,02:30,NORTHERN,NONE,800 Block of LARKIN ST,-122.417885441042,37.7854378471968,"(37.7854378471968, -122.417885441042)",15033770104134
150337626,ASSAULT,CHILD ABUSE (PHYSICAL),Saturday,04/18/2015,02:15,CENTRAL,"ARREST, BOOKED",600 Block of HYDE ST,-122.416477397948,37.7867954080343,"(37.7867954080343, -122.416477397948)",15033762615015
150337626,ASSAULT,INFLICT INJURY ON COHABITEE,Saturday,04/18/2015,02:15,CENTRAL,"ARREST, BOOKED",600 Block of HYDE ST,-122.416477397948,37.7867954080343,"(37.7867954080343, -122.416477397948)",15033762615040
150339600,OTHER OFFENSES,"TRAFFIC COLLISION, HIT & RUN, INJURY",Saturday,04/18/2015,02:07,SOUTHERN,NONE,2ND ST / HOWARD ST,-122.398261647342,37.7867787589097,"(37.7867787589097, -122.398261647342)",15033960068069
150340663,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,04/18/2015,00:01,NORTHERN,NONE,POLK ST / JACKSON ST,-122.421406974022,37.7941418920108,"(37.7941418920108, -122.421406974022)",15034066306243
150337256,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,04/17/2015,23:51,SOUTHERN,"ARREST, BOOKED",7TH ST / BERRY ST,-122.40002612049,37.7705161444903,"(37.7705161444903, -122.40002612049)",15033725665016
150337347,SECONDARY CODES,GANG ACTIVITY,Friday,04/17/2015,23:40,MISSION,"ARREST, BOOKED",24TH ST / LILAC ST,-122.417878226786,37.7522731644848,"(37.7522731644848, -122.417878226786)",15033734719400
150337347,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Friday,04/17/2015,23:40,MISSION,"ARREST, BOOKED",24TH ST / LILAC ST,-122.417878226786,37.7522731644848,"(37.7522731644848, -122.417878226786)",15033734715161
150339428,NON-CRIMINAL,LOST PROPERTY,Friday,04/17/2015,23:00,CENTRAL,NONE,300 Block of POWELL ST,-122.408384275542,37.7878271137225,"(37.7878271137225, -122.408384275542)",15033942871000
150339020,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Friday,04/17/2015,22:00,NORTHERN,NONE,2300 Block of BUCHANAN ST,-122.431073169007,37.7915687103002,"(37.7915687103002, -122.431073169007)",15033902006303
150339111,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,04/17/2015,21:30,SOUTHERN,NONE,10TH ST / BRYANT ST,-122.409738771906,37.7703482035454,"(37.7703482035454, -122.409738771906)",15033911106244
150339111,FRAUD,"CREDIT CARD, THEFT BY USE OF",Friday,04/17/2015,21:30,SOUTHERN,NONE,10TH ST / BRYANT ST,-122.409738771906,37.7703482035454,"(37.7703482035454, -122.409738771906)",15033911109320
150336844,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Friday,04/17/2015,21:17,TENDERLOIN,NONE,LEAVENWORTH ST / ELLIS ST,-122.414433155063,37.7846576329256,"(37.7846576329256, -122.414433155063)",15033684464085
150336888,ROBBERY,"SHOPLIFTING, FORCE AGAINST AGENT",Friday,04/17/2015,21:01,CENTRAL,NONE,0 Block of DRUMM ST,-122.396556426173,37.7941169057941,"(37.7941169057941, -122.396556426173)",15033688803401
150336797,SECONDARY CODES,DOMESTIC VIOLENCE,Friday,04/17/2015,20:26,NORTHERN,NONE,0 Block of MARINA BL,-122.432951589917,37.8050520228881,"(37.8050520228881, -122.432951589917)",15033679715200
150336797,DISORDERLY CONDUCT,DISTURBING THE PEACE,Friday,04/17/2015,20:26,NORTHERN,NONE,0 Block of MARINA BL,-122.432951589917,37.8050520228881,"(37.8050520228881, -122.432951589917)",15033679719022
150336690,WARRANTS,WARRANT ARREST,Friday,04/17/2015,20:07,MISSION,"ARREST, BOOKED",CLINTONPARK ST / DOLORES ST,-122.42682362951,37.7691691836257,"(37.7691691836257, -122.42682362951)",15033669063010
150337983,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,04/17/2015,20:06,SOUTHERN,NONE,800 Block of MISSION ST,-122.405395493939,37.7835100715421,"(37.7835100715421, -122.405395493939)",15033798306244
